client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
22bffa1848f148994da994d7a6899daa001133d2942e82693bbd782768e80003259355cb74b6f99381f21f446e90d732df5d0ae6290c52ebc8339470bf60b978	common_voice_hi_42739544.mp3	655aadf0141db42050b741c44e69725a87611934e779224839fe39280de6b0e7	छोटे पर्दे पर 'मौसी' बनकर वापसी करेंगी सनाया ईरानी		0	0					hi	
22bffa1848f148994da994d7a6899daa001133d2942e82693bbd782768e80003259355cb74b6f99381f21f446e90d732df5d0ae6290c52ebc8339470bf60b978	common_voice_hi_42739545.mp3	0361ebc150175ab0c8c54f2d2c3637b28e1a166bd989bf4f889e361c713c00b1	उनके पास दस गायें हैं।		0	0					hi	
22bffa1848f148994da994d7a6899daa001133d2942e82693bbd782768e80003259355cb74b6f99381f21f446e90d732df5d0ae6290c52ebc8339470bf60b978	common_voice_hi_42739546.mp3	601ed1b5854e52dfd70fade7da211cbf406f28049a74b341c9cf10eb4e26d925	भ्रष्टाचार रोकने के लिए यूपी रेलवे ने लॉन्च किया वाट्सएप हेल्प लाइन नंबर		0	0					hi	
c3bda054b6f7c6d4bf7993ddc0d97b7813d7dc4283b08eec95b359e37ffc3244236b7c5cfbd4dfa46116502ef64b332465de69a26da9872b9b81ec36c9113792	common_voice_hi_42745591.mp3	6317c9c060742254f6af706934e015d33e1cb2e0edb421a5c561480a353a158c	संसद में बोली मोदी सरकार- आधार से नहीं जोड़ रहे फेसबुक और ट्विटर अकाउंट		0	0					hi	
c3bda054b6f7c6d4bf7993ddc0d97b7813d7dc4283b08eec95b359e37ffc3244236b7c5cfbd4dfa46116502ef64b332465de69a26da9872b9b81ec36c9113792	common_voice_hi_42745592.mp3	63c0f7879926ed721d6d4f4dbd6a645727e89f92b0a88ff9049700fbde2bebd2	खुदा से बेहतर प्रशासक थे मनमोहन सिंह: जावेद अख्तर		0	0					hi	
c3bda054b6f7c6d4bf7993ddc0d97b7813d7dc4283b08eec95b359e37ffc3244236b7c5cfbd4dfa46116502ef64b332465de69a26da9872b9b81ec36c9113792	common_voice_hi_42745593.mp3	672ebaa0b6125fb0610019614680aec7be058baf159b4781d0f9341986337a47	आपकी आंखों के रंग से जुड़ा हुआ है आपका भाग्य		0	0					hi	
c3bda054b6f7c6d4bf7993ddc0d97b7813d7dc4283b08eec95b359e37ffc3244236b7c5cfbd4dfa46116502ef64b332465de69a26da9872b9b81ec36c9113792	common_voice_hi_42745594.mp3	5bfc6799562cca355cf3c1a19cd6fa2220782aedb64656a8dc41f33a3cb17a6d	ट्विटर पर भड़काऊ पोस्ट, बुलेट राजा के स्क्रिप्टराइटर अरेस्ट		0	0					hi	
c3bda054b6f7c6d4bf7993ddc0d97b7813d7dc4283b08eec95b359e37ffc3244236b7c5cfbd4dfa46116502ef64b332465de69a26da9872b9b81ec36c9113792	common_voice_hi_42745595.mp3	5772129719a5b262ec9cd28616c3de00313de3206248499d6c82d4ab387ac982	'लाट साहब' जैसा बर्ताव कर रहा है केंद्र: नरेंद्र मोदी		0	0					hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100768.mp3	651c3d5a49c6abec7b0399229d2483ad557fd97f80d6bae2f7541b16ba27b2fb	वो स्टूडेंट क्लास में ही सो गया।		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100770.mp3	654aa376e6fc9669f2085af5a734f270297fb165edf8a780a9c657e272db0585	लिट्टे प्रमुख प्रभाकरण को आखिरी अल्टीमेटम		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100771.mp3	6764972e6f73bb8a9adc03c8abd63b4cd251f856d93215a1d3440963889ced1a	हेमामालिनी की नजर फिरोजाबाद लोकसभा सीट पर		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100772.mp3	622e8e50b52739a40286a3286f6ca0b51a3fa4c6c3e9788a5618039550c03408	चलते चलते: पाकिस्तानी सिंगर ने इस फिल्म में गाया 'पाकीज़ा' का गाना		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100773.mp3	6681b48d68e60f49cd1b21d8f865ba5b2bfb7b1716a3c9b6c7b78be00e866802	अमेरिका ने रूस को धमकाया, यूक्रेन में अस्थिरता लाए तो भुगतना पड़ेगा		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100786.mp3	66d44a21a1bfd9b092146b5c781c5b00919fc996cecec129b0478fce33041754	मुंबई पब हादसे के फरार आरोपी सांघवी ब्रदर्स गिरफ्तार, फिल्मी अंदाज में हुई अरेस्टिंग		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100789.mp3	60097c2c246846624a25309b8eb876668206a046101e355fedf94975bf1176ad	एसी रूम में बैठकर बिग बॉस का खेल बंद करें केजरीवाल: संबित पात्रा		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100791.mp3	62979f91237a58d90776a6cb6178cb843a37acc4fce25ccb107b098a712f46d0	समग्र वार्ता बहाली के लिए गेंद अब भारत के पाले में: पाकिस्तान		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100793.mp3	65d9aff61ab743f2c235a352ef203b3f589dd7aac865d0476605e482310d5b44	उम्रदराज लोग ऐसे सुधारें दिमाग की सेहत		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100794.mp3	6662fb737bac460589576ba086284b7b3a0615402616f6aa8caf83352566c724	अल्टीमेटम के बाद तेजस्वी को बर्खास्त करें नीतीश कुमार: सुशील मोदी		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100803.mp3	65f2b86b4f9864ac92b9359a2927598392a2e5206c515a08c154f7cbdfd6084f	दिग्विजय सिंह बोले- ट्रिपल तलाक पर मुस्लिम समुदाय को लेने दें फैसला		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100804.mp3	657140db49e005bd2ec750cb02293585ff11b91fbf457503570a2d0440b186b0	नोटबंदी से लेकर राष्ट्रपति-स्पीकर तक, हर फैसले में चौंकाते हैं पीएम मोदी		0	0	fourties				hi	
641b93dcfdfb0a24fd7a150e5d95ef478a893d3d7a5f88ac6e1d159b8738d7bc5c0d7c49c020132f30b71b3da928d07ddbd57c7b0f0674a40bffbd50ed0ce5f8	common_voice_hi_43100805.mp3	66e266035fadf2e7f2680d83ee50dc904b34b21e4c0459d67fa453a0d2f09bae	कड़ी सजा से रुकेंगे रेप जैसे अपराध: नीतीश		0	0	fourties				hi	
